I want to punch him in the face,"{""toSend"": ""Someone wants to punch you in the face 👊"", ""contact"": null, ""isValid"": true}"
I think she is very talented,"{""toSend"": ""Someone thinks you are very talented 🤩"", ""contact"": null, ""isValid"": true}"
I don't trust them,"{""toSend"": ""Someone doesn't trust you 😤"", ""contact"": null, ""isValid"": true}"
He makes me want to puke,"{""toSend"": ""You make someone want to puke 🤮"", ""contact"": null, ""isValid"": true}"
I wish she would just disappear,"{""toSend"": ""Someone wishes you would just disappear 🪄"", ""contact"": null, ""isValid"": true}"
I am so happy for my results,"{""toSend"": null, ""contact"": null, ""isValid"": false}"
I am going to the party tonight,"{""toSend"": null, ""contact"": null, ""isValid"": false}"
Is it possible that he is an alien?,"{""toSend"": ""Is it possible that you are an alien? 👽"", ""contact"": null, ""isValid"": true}"
"You know what, I think he is really annoying","{""toSend"": ""Someone thinks you are really annoying 😒"", ""contact"": null, ""isValid"": true}"
I just can't stand her anymore,"{""toSend"": ""Someone just can't stand you anymore 😠"", ""contact"": null, ""isValid"": true}"
I think he is the worst person I've ever met,"{""toSend"": ""Someone thinks you are the worst person they've ever met 👎"", ""contact"": null, ""isValid"": true}"
I am not sure if I should trust her,"{""toSend"": ""Someone is not sure if they should trust you 🤔"", ""contact"": null, ""isValid"": true}"
I really don't like the way you talk,"{""toSend"": ""Someone doesn't like the way you talk 🤐"", ""contact"": null, ""isValid"": true}"
I'm feeling much better today,"{""toSend"": null, ""contact"": null, ""isValid"": false}"
I am jealous of his success,"{""toSend"": ""Someone is jealous of your success 😒"", ""contact"": null, ""isValid"": true}"
"You are the best, Akhil!","{""toSend"": ""Someone thinks you are the best 😊"", ""contact"": ""Akhil"", ""isValid"": true}"
I can't believe she said that about me,"{""toSend"": ""Someone can't believe you said that about them 😲"", ""contact"": null, ""isValid"": true}"
I'm going to miss you when you move away,"{""toSend"": ""Someone will miss you when you move away ☹️"", ""contact"": null, ""isValid"": true}"
I have a crush on him,"{""toSend"": ""Someone has a crush on you 💖"", ""contact"": null, ""isValid"": true}"
I think she's really cool,"{""toSend"": ""Someone thinks you're really cool 😎"", ""contact"": null, ""isValid"": true}"
I'm so proud of Priya's achievements,"{""toSend"": ""Someone is proud of your achievements ✨"", ""contact"": ""Priya"", ""isValid"": true}"
I'm really disappointed in what he did,"{""toSend"": ""Someone is really disappointed in what you did ☹️"", ""contact"": null, ""isValid"": true}"
I'm worried about her health,"{""toSend"": ""Someone is worried about your health 🩺"", ""contact"": null, ""isValid"": true}"
I admire her courage,"{""toSend"": ""Someone admires your courage 💪"", ""contact"": null, ""isValid"": true}"
I can't stand his arrogance,"{""toSend"": ""Someone can't stand your arrogance 😠"", ""contact"": null, ""isValid"": true}"
I'm not sure what to think of him,"{""toSend"": ""Someone is not sure what to think of you 🤔"", ""contact"": null, ""isValid"": true}"
I'm surprised she got the job,"{""toSend"": ""Someone is surprised you got the job 😲"", ""contact"": null, ""isValid"": true}"
I'm happy to hear that he's doing well,"{""toSend"": ""Someone is happy to hear that you're doing well 😊"", ""contact"": null, ""isValid"": true}"
I forgive you for what you did,"{""toSend"": ""Someone forgives you for what you did 🙏"", ""contact"": null, ""isValid"": true}"
I'm grateful for her help,"{""toSend"": ""Someone is grateful for your help 🙏"", ""contact"": null, ""isValid"": true}"
I'm sorry for what I said,"{""toSend"": ""Someone is sorry for what they said to you 😔"", ""contact"": null, ""isValid"": true}"
I'm so angry at him right now,"{""toSend"": ""Someone is so angry at you right now 😠"", ""contact"": null, ""isValid"": true}"
I hope she knows how much she means to me,"{""toSend"": ""Someone hopes you know how much you mean to them ❤️"", ""contact"": null, ""isValid"": true}"
I'm thinking about what he said,"{""toSend"": ""Someone is thinking about what you said 🤔"", ""contact"": null, ""isValid"": true}"
I really love the way she sings,"{""toSend"": ""Someone really loves the way you sing ❤️"", ""contact"": null, ""isValid"": true}"
I think he has a crush on me,"{""toSend"": ""Someone thinks you have a crush on them 😳"", ""contact"": null, ""isValid"": true}"
They shouldn't be allowed to do that,"{""toSend"": ""Someone thinks you shouldn't be allowed to do that 😠"", ""contact"": null, ""isValid"": true}"
"You are so dumb, Kevin","{""toSend"": ""Someone thinks you are dumb 😒"", ""contact"": ""Kevin"", ""isValid"": true}"
